"cp_name";"cp_cpos";"cp_scpo";"id";"id_cas";"sql"
"COLONIA ENSAYO";3101;6;"3101-6";"";"INSERT INTO tbl_localidades VALUES ('3101-6', 'COLONIA ENSAYO(3101-6)', NOW(), NOW(), '1', '1', 'Localidad COLONIA ENSAYO(3101-6)', 0, '1', 'COLONIA ENSAYO', 3101, 6, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"ALDEA BRASILERA";3101;7;"3101-7";"3101-1";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3101-1' WHERE loc_cpos = 3101 AND loc_scpo = 7;"
"DIAMANTE";3105;0;"3105-0";"3105-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3105-0' WHERE loc_cpos = 3105 AND loc_scpo = 0;"
"COLONIA BARU";3105;1;"3105-1";"";"INSERT INTO tbl_localidades VALUES ('3105-1', 'COLONIA BARU(3105-1)', NOW(), NOW(), '1', '1', 'Localidad COLONIA BARU(3105-1)', 0, '1', 'COLONIA BARU', 3105, 1, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"LAS CUEVAS";3105;2;"3105-2";"3101-5";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3101-5' WHERE loc_cpos = 3105 AND loc_scpo = 2;"
"SAN BENITO";3107;0;"3107-0";"3107-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3107-0' WHERE loc_cpos = 3107 AND loc_scpo = 0;"
"VILLA URQUIZA";3109;0;"3109-0";"3109-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3109-0' WHERE loc_cpos = 3109 AND loc_scpo = 0;"
"LA PICADA";3109;1;"3109-1";"3109-1";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3109-1' WHERE loc_cpos = 3109 AND loc_scpo = 1;"
"EL PINGO";3113;0;"3113-0";"";"INSERT INTO tbl_localidades VALUES ('3113-0', 'EL PINGO(3113-0)', NOW(), NOW(), '1', '1', 'Localidad EL PINGO(3113-0)', 0, '1', 'EL PINGO', 3113, 0, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"MARIA GRANDE";3114;0;"3114-0";"3114-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3114-0' WHERE loc_cpos = 3114 AND loc_scpo = 0;"
