loc_cpos;loc_scpo;name;id;name_sin_cp;sinonimos
3192;1;"EL COLORADO (3192-1)";3192-1;"EL COLORADO";
3200;0;"CONCORDIA (3200-0)";3200-0;"CONCORDIA";
3201;0;"COLONIA YERUA (ESTACIÓN YERUÁ) (3201-0)";3201-0;"COLONIA YERUA";
3201;1;"VILLA ZORRAQUIN (3201-1)";3201-1;"VILLA ZORRAQUIN";
3201;2;"PUERTO YERUA (3201-2)";3201-2;"PUERTO YERUA";
3201;3;"VILLA ADELA (3201-3)";3201-3;"VILLA ADELA";
3201;4;"ESTANCIA GRANDE (3201-4)";3201-4;"ESTANCIA GRANDE";
3201;5;"NUEVA ESCOCIA (3201-5)";3201-5;"NUEVA ESCOCIA";
3201;6;"COLONIA GENERAL ROCA (3201-6)";3201-6;"COLONIA GENERAL ROCA";
3203;0;"PEDERNAL (3203-0)";3203-0;"PEDERNAL";
3203;1;"CLODOMIRO LEDESMA (3203-1)";3203-1;"CLODOMIRO LEDESMA";
3203;2;"CALABACILLA (3203-2)";3203-2;"CALABACILLA";
3203;3;"BENITO LEGERÉN (3203-3)";3203-3;"BENITO LEGERÉN";
3204;0;"COLONIA AYUI (3204-0)";3204-0;"COLONIA AYUI";
3206;0;"FEDERACIÓN (3206-0)";3206-0;"FEDERACIÓN";
3206;1;"COLONIA LA ARGENTINA (3206-1)";3206-1;"COLONIA LA ARGENTINA";
3208;0;"SANTA ANA (3208-0)";3208-0;"SANTA ANA";
3212;0;"LOS CHARRUAS (3212-0)";3212-0;"LOS CHARRUAS";
3212;1;"NUEVA VIZCAYA (3212-1)";3212-1;"NUEVA VIZCAYA";
3212;2;"LA CRIOLLA (3212-2)";3212-2;"LA CRIOLLA";
3212;3;"OSVALDO MAGNASCO (3212-3)";3212-3;"OSVALDO MAGNASCO";
3214;0;"ESTACIÓN YUQUERÍ (3214-0)";3214-0;"ESTACIÓN YUQUERÍ";
3216;0;"GENERAL CAMPOS (3216-0)";3216-0;"GENERAL CAMPOS";
3218;0;"SAN SALVADOR (3218-0)";3218-0;"SAN SALVADOR";
3228;0;"CHAJARI (3228-0)";3228-0;"CHAJARI";
3228;1;"COLONIA ALEMANA (3228-1)";3228-1;"COLONIA ALEMANA";
3228;2;"LA FLORIDA (COLONIA OFICIAL Nº1) (3228-2)";3228-2;"LA FLORIDA";
3228;3;"COLONIA CELINA (3228-3)";3228-3;"COLONIA CELINA";
3229;0;"COLONIA PEÑA (3229-0)";3229-0;"COLONIA PEÑA";
3229;1;"SAN PEDRO (COLONIA FREITAS) (3229-1)";3229-1;"SAN PEDRO";
3229;2;"SAN RAMÓN (3229-2)";3229-2;"SAN RAMÓN";
3229;3;"VILLA DEL ROSARIO (3229-3)";3229-3;"VILLA DEL ROSARIO";
3240;0;"VILLAGUAY (3240-0)";3240-0;"VILLAGUAY";
3240;1;"ESTACION LAS MOSCAS (3240-1)";3240-1;"ESTACION LAS MOSCAS";
3241;0;"PASO DE LA LAGUNA (3241-0)";3241-0;"PASO DE LA LAGUNA";
3246;0;"INGENIERO MIGUEL SAJAROFF (3246-0)";3246-0;"INGENIERO MIGUEL SAJAROFF";
3246;1;"VILLA DOMINGUEZ (3246-1)";3246-1;"VILLA DOMINGUEZ";
3248;0;"SANTA ANITA (3248-0)";3248-0;"SANTA ANITA";
3248;1;"VILLA SAN MARCIAL (EST. GOBERNADOR URQUIZA) (3248-1)";3248-1;"VILLA SAN MARCIAL";
3252;0;"VILLA CLARA (3252-0)";3252-0;"VILLA CLARA";
3254;0;"JUBILEO (3254-0)";3254-0;"JUBILEO";
3260;0;"VILLA SAN JUSTO (3260-0)";3260-0;"VILLA SAN JUSTO";
3260;1;"CONCEPCION DEL URUGUAY (3260-1)";3260-1;"CONCEPCION DEL URUGUAY";
3261;0;"COLONIA ELIA (3261-0)";3261-0;"COLONIA ELIA";
3262;0;"ESTACION CASEROS (3262-0)";3262-0;"ESTACION CASEROS";
3263;0;"PRONUNCIAMIENTO (3263-0)";3263-0;"PRONUNCIAMIENTO";
3263;1;"COLONIA 1º DE MAYO (3263-1)";3263-1;"COLONIA 1º DE MAYO";
3265;0;"HOCKER (3265-0)";3265-0;"HOCKER";
3265;1;"VILLA ELISA (3265-1)";3265-1;"VILLA ELISA";
3269;0;"LA CLARITA (3269-0)";3269-0;"LA CLARITA";
3269;1;"ARROYO BARU (3269-1)";3269-1;"ARROYO BARU";
3269;2;"PUEBLO CAZES (3269-2)";3269-2;"PUEBLO CAZES";
3269;3;"HAMBIS (3269-3)";3269-3;"HAMBIS";
3272;0;"VILLA MANTERO (3272-0)";3272-0;"VILLA MANTERO";
3272;1;"ESTACION HERRERA (3272-1)";3272-1;"ESTACION HERRERA";
3280;0;"COLON (3280-0)";3280-0;"COLON";
3281;0;"COLONIA HUGUES (3281-0)";3281-0;"COLONIA HUGUES";
3281;1;"COLONIA ARROYO URQUIZA (3281-1)";3281-1;"COLONIA ARROYO URQUIZA";
3283;0;"EL BRILLANTE (3283-0)";3283-0;"EL BRILLANTE";
3283;1;"PUEBLO LIEBIG'S (3283-1)";3283-1;"PUEBLO LIEBIG'S";
3283;2;"SAN JOSE (3283-2)";3283-2;"SAN JOSE";
3287;0;"UBAJAY (3287-0)";3287-0;"UBAJAY";
