loc_cpos;loc_scpo;name;id;name_sin_cp;tbl_id_fk;match_categoria;observacion;tbl_name
3151;1;FEBRÉ (3151-1);3151-1;FEBRÉ;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.18 con ANTELO);
3153;0;VICTORIA (3153-0);3153-0;VICTORIA;3153-0;MATCH_EXACTO;Nombre idéntico;VICTORIA (3153-0)
3155;0;RINCON DE NOGOYA (3155-0);3155-0;RINCON DE NOGOYA;;SIN_MATCH_CPOS;loc_cpos 3155 no existe en TBL;
3156;0;HERNANDEZ (3156-0);3156-0;HERNANDEZ;3156-0;MATCH_EXACTO;Nombre idéntico;HERNANDEZ (3156-0)
3156;1;BETBEDER (3156-1);3156-1;BETBEDER;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.35 con HERNANDEZ);
3158;0;20 DE SEPTIEMBRE (3158-0);3158-0;20 DE SEPTIEMBRE;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.13 con LUCAS GONZALEZ);
3158;1;LUCAS GONZALEZ (3158-1);3158-1;LUCAS GONZALEZ;3158-0;MATCH_EXACTO;Nombre idéntico;LUCAS GONZALEZ (3158-0)
3162;0;ARANGUREN (3162-0);3162-0;ARANGUREN;3162-0;MATCH_EXACTO;Nombre idéntico;ARANGUREN (3162-0)
3164;0;GENERAL RAMIREZ (3164-0);3164-0;GENERAL RAMIREZ;3164-0;MATCH_EXACTO;Nombre idéntico;GENERAL RAMIREZ (3164-0)
3164;1;DON CRISTÓBAL (3164-1);3164-1;DON CRISTÓBAL;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.29 con GENERAL RAMIREZ);
3170;0;BASAVILBASO (3170-0);3170-0;BASAVILBASO;3170-0;MATCH_EXACTO;Nombre idéntico;BASAVILBASO (3170-0)
3170;1;ESTACION LIBAROS (3170-1);3170-1;ESTACION LIBAROS;3170-1;MATCH_EXACTO;Nombre idéntico;ESTACION LIBAROS (3170-1)
3170;2;ESTACION URQUIZA (3170-2);3170-2;ESTACION URQUIZA;3170-2;MATCH_EXACTO;Nombre idéntico;ESTACION URQUIZA (3170-2)
3172;0;ROCAMORA (3172-0);3172-0;ROCAMORA;;SIN_MATCH_CPOS;loc_cpos 3172 no existe en TBL;
3174;0;ALTAMIRANO SUR (3174-0);3174-0;ALTAMIRANO SUR;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.20 con ROSARIO DEL TALA);
3174;1;LAS GUACHAS (3174-1);3174-1;LAS GUACHAS;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.15 con ROSARIO DEL TALA);
3174;2;ROSARIO DEL TALA (3174-2);3174-2;ROSARIO DEL TALA;3174-0;MATCH_EXACTO;Nombre idéntico;ROSARIO DEL TALA (3174-0)
3176;0;GOBERNADOR SOLA (3176-0);3176-0;GOBERNADOR SOLA;3176-0;MATCH_EXACTO;Nombre idéntico;GOBERNADOR SOLA (3176-0)
3177;0;MACIA (3177-0);3177-0;MACIA;3177-0;MATCH_EXACTO;Nombre idéntico;MACIA (3177-0)
3177;1;ESTACION DURAZNO (3177-1);3177-1;ESTACION DURAZNO;3177-1;MATCH_EXACTO;Nombre idéntico;ESTACION DURAZNO (3177-1)
3177;2;ESTACIÓN RAÍCES (3177-2);3177-2;ESTACIÓN RAÍCES;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.71 con ESTACION DURAZNO);
3179;0;GUARDAMONTE (3179-0);3179-0;GUARDAMONTE;;SIN_MATCH_CPOS;loc_cpos 3179 no existe en TBL;
3180;0;FEDERAL (3180-0);3180-0;FEDERAL;3180-0;MATCH_EXACTO;Nombre idéntico;FEDERAL (3180-0)
3183;0;LOS CONQUISTADORES (3183-0);3183-0;LOS CONQUISTADORES;3183-0;MATCH_EXACTO;Nombre idéntico;LOS CONQUISTADORES (3183-0)
3185;0;SAN JAIME DE LA FRONTERA (3185-0);3185-0;SAN JAIME DE LA FRONTERA;3185-0;SINONIMO_PALABRA_CLAVE;Palabra clave: FRONTERA;S.J.DE LA FRONTERA (3185-0)
3187;0;SAN JOSÉ DE FELICIANO (3187-0);3187-0;SAN JOSÉ DE FELICIANO;3187-0;MATCH_EXACTO;Nombre idéntico;SAN JOSÉ DE FELICIANO (3187-0)
3188;0;CONSCRIPTO BERNARDI (3188-0);3188-0;CONSCRIPTO BERNARDI;3188-0;SINONIMO_PALABRA_CLAVE;Palabra clave: CONSCRIPTO;CONSCRIPTO BERNARDO (3188-0)
3188;1;ALDEA SAN ISIDRO (EL CIMARRÓN) (3188-1);3188-1;ALDEA SAN ISIDRO;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.17 con CONSCRIPTO BERNARDO);
3190;0;LA PAZ (3190-0);3190-0;LA PAZ;3190-0;MATCH_EXACTO;Nombre idéntico;LA PAZ (3190-0)
